we,69
can,90
make,48
pm,11
pay,1
for,181
itmy,1
team,5
is,199
deadass,2
buying,2
kitchen,14
supplies,5
with,79
budeti,1
might,17
spend,2
budget,3
on,142
one,32
though,16
if,146
thats,43
the,505
question887086756653043782,1
cornbread,1
in,295
eh,8
update,2
now,24
nord,7
but,192
lmk,5
you,205
want,125
some,23
i,379
still,47
have,128
somethis,1
mandatory,1
please,13
follow,4
our,26
twitchhello,1
friends,5
many,15
of,208
expressed,1
interest,3
spring,4
break,7
road,4
trip,4
wherein,1
no,25
plans,2
and,263
rely,1
dice,1
magic,1
eight,1
balls,1
tarot,1
cards,1
more,41
inanimate,1
objects,1
to,549
decisions,1
us,21
wondering,1
where,16
this,51
will,44
take,8
well,11
so,85
are,98
be,157
livestreaming,1
entire,5
adventure,1
along,2
norahandtheboys,1
twitch,1
going,71
live,2
starting,9
at,92
11am,2
sundaythey,1
exist,4
only,17
a,329
few,10
them,33
popped,1
open,11
come,32
wh,16
consumemore,1
fruit,1
ones,7
coming,2
up,62
soon887086756653043782,1
sausage,4
cheese,2
kolaches,2
5,12
minuteshttpsdocsgooglecomspreadsheetsd1aki54pvel1f735pdluf6s54yzewxszng3oqkurdoocedituspsharingi,1
made,11
spreadsheet,4
its,97
currently,8
very,36
empty,1
help,12
me,78
things,26
bakeplus,1
dont,96
it,217
just,166
25,2
thingi,5
bunch,10
carry,2
all,44
over887086756653043782,1
king,2
cake,3
sending,2
carpe,2
ten,10
minutes887086756653043782,2
chocolate,4
croissants,10
kitchen887086756653043782,5
palmiers,3
donewill,1
also,68
hopefully,3
not,122
burnt,2
15ish,3
minutesat,3
point,7
get,51
rid,2
themwed,1
appreciate,9
talked,3
about,46
your,44
experience,1
requires887086756653043782,1
gluten,1
free,11
dinosaur,1
oreos,1
kitchenyeseveryone,1
remotely,1
intersted,2
being,26
play,3
let,9
know,47
as,42
small,4
role,1
like,122
minimal,1
time,28
commitment,2
would,69
immenselyits,1
much,35
raining,1
third,2
state,1
texas,7
ive,23
driven,1
through,13
todaywill,1
bringing,3
ofac,8
folks,18
1520ish,1
theres,28
fuck,5
ton,3
ice,4
cream,2
wh2,2
go,58
someit,1
ugly,1
tastes,2
good887086756653043782,1
start,10
baking,3
last,16
call,4
voteslike,1
schedule,3
an,41
hour,11
from,52
or,80
something,26
really,37
planned,1
activityplz,1
right,23
nowyou,1
sleepbut,1
am,30
awakethat,1
said,18
poll,1
sometime,3
before,23
end,8
week,15
that,159
isnt,11
tonightbaked,1
goods,2
happening,6
tonight,9
because,13
people,30
decided,6
bullies,1
bed,8
which,13
was,83
incredibly,3
rudei,1
sleep,10
while,16
dough,5
risesbreakfast,1
baked,1
classyeahbc,1
they,45
bake,1
thingsi,1
already,14
bullied,1
by,23
current,1
inhabitants,1
wh4,4
loungegrossvote,1
should,35
donutseh2887086756653043782,1
high,7
school,13
musical,6
now887086756653043782,1
30,6
sec,1
videos,1
nowhad,1
run,8
back,26
my,89
giftis,1
else,11
hereso,1
aditiwas,1
fridgewait,1
blind,1
youthey,2
gone,4
away887086756653043782,1
snicker,1
doodles,1
kitchenits,1
actually,36
looking,8
qea,19
activity,2
ping,3
when,26
theyre,22
done,23
bc,35
slow,1
goingdue,1
cold,3
falling,3
asleep,5
bit,6
pushed,2
930ishtime,1
finished,8
little,6
flexible,1
strong,1
opinions,3
itin,1
anyone,68
wants,24
vibe887086756653043782,1
available,2
consume,1
tomorrow,16
morning,9
ideally,2
around,18
9amishmoved,1
lounge,9
full288518699206443009,1
cant,21
edit,2
sheet,3
do,102
itweve,1
got,44
cela,1
clay,6
toocan,1
bring,11
wh4beaver,1
nuggets,2
authentic,1
their,7
livesi,1
bleach,15
after,16
welcome,1
tonevermind,1
apparently,2
gonei,1
wantpop,1
punk,12
alwayscuteoh,1
ok,6
mbif,1
sewing,4
machine,2
probably,40
flexibletheyll,1
waive,1
requirement,1
trainings,2
messtechically,1
rlyat,1
330tormachkate,1
napagain,1
depends,2
person,9
contextdepends,1
personhttpsdiscordggtcegz6vz,1
join,27
youre,23
interested,9
happeningit,1
sounds,16
quietby,1
group,7
prob,2
fineits,1
taken,1
rnmy,1
dad,5
has,14
left,10
yall,45
good,47
referring,2
correctly,2
thanks,2
yallyes,1
such,2
appleapple,1
httpsdocsgooglecomspreadsheetsd16i07xdfbpwgqxanefnyfvrhncwjj9klxggwak8lfkniedituspdrivesdkclay,1
eh2,2
puzzling,1
worth,13
itwhats,1
happeningthat,1
bennett,1
quotebut,1
effortnorahandtheboys,1
word,3
lowercasehell,1
yesgod,1
wouldnt,6
giraffes,2
exisrweve,1
turned,1
project,4
aroundyesi,1
need,48
someone,18
here,6
teach,3
how,42
mate,1
cranei,1
crushed,1
between,6
thighs,1
tab,1
carlosyou,1
manipulate,1
luke,6
im,79
disposable,2
nonmoss,1
girls,1
norahfor,1
best,7
results,3
see,11
bothsaturday,1
night,17
option,2
seeing,2
sunday,1
afternoon,9
chaosalbert,1
horny,1
philosophically,1
speakingniceits,1
extrude,1
cut,2
top,5
surgery,1
lukethe,1
ingaysionwait,1
another,9
tiny,3
pumpkins,1
earring,1
dontso,1
effectivelybecause,1
destroyed,1
iti,12
luked,1
hiv,1
katedude,1
impaling,1
ass,1
albertim,2
educated,1
queer,1
dabs,1
albert“sí,1
muy,2
straight”,1
kate“kate,1
es,1
heterosexual”,1
google,2
translatekate,1
could,47
boy,1
girl,1
three,5
way,16
completely,1
straight,2
luke945i,1
toi,1
bedaka,1
werent,1
coerced,1
into,17
sleeping845,1
qea825337906645827595,1
up180105249363591170,1
wakeup,3
ill,28
sobut,1
seei,2
mean,12
worry,3
waking,5
timei,3
try,17
promises,3
odds,2
awake,7
eitheri,1
fact,4
classbut,1
ty,1
whoever,4
knocked,2
door,7
gotten,2
out,39
otherwiseits,1
early,2
pls,1
same,20
havent,4
heard,5
mesame,1
lolawesome,1
thank,6
you615,1
anyones,2
upi,3
believe,3
so903649032549826580,1
everyone,13
wakeups,1
minutes,22
react,6
say,11
something930,1
plz10151230indeedishi,1
nowand,1
shop,8
trainingbetween,1
meetings,2
stuffi,2
two,17
minute,2
blocks,2
9,5
1030pmme,1
toowere,1
making,11
smores,1
bonding,1
810you,1
crash,1
rocketry,6
fire,2
insteadi,3
guessand,1
shit,6
doexceot,1
maybe,13
ethan,3
himno,1
offense,2
miss,3
identiy,1
sleepits,1
4amaditi,1
bed6,1
hours,12
happeningmake,1
830,2
coffee,1
identityfor,1
meeting,11
time845probably,1
unwarranted,1
given,2
slept,1
past,6
rehearsal1245am,1
awake945but,1
class,27
nowyeah,2
she,4
def,6
door180105249363591170,1
alivedo,1
next,15
15,9
minutesholy,1
earlyi,2
amactually,1
915,1
terms,3
awake930im,1
dwi,1
desnat,19
againcould,1
wake,2
945if,1
gay,3
brunch,7
knock,3
somethingi,2
ask,6
seen,1
thoughparty,1
ended,2
20,9
agojust,1
message,3
wheneveri,1
2,12
bottl,1
s,1
knockoff,2
sprite,1
yours,3
were,54
1,8
eachme,1
too,25
lolyes,1
there,30
sticky,1
note,1
over,15
mixing,1
bowl,2
label,1
colandersbottom,1
drawer,2
under,4
oventhats,1
date,1
announced,2
tbh,3
sense,4
leave,6
afternoonyou,1
north,3
wing,2
penthouse,2
private,1
roomim,1
pretty,17
sure,28
texting,1
thing,15
firsthand,1
experiencebut,1
glad,5
hear,4
worked,1
outsorry,1
then,14
forgot,4
discord,4
hourive,1
quart,2
gallon,2
size,3
room,18
kitchens,2
any,19
sawhes,1
telling,2
hide,1
he,10
doesnt,13
find,13
stuffjust,1
stick,1
closet,1
able,11
precise,1
times,4
goyeah,1
think,75
since,11
eh1,1
hereheard,1
police,1
radio,2
medical,1
relatively,2
quiet,1
amyeah,1
thtas,1
lot,12
effort,4
unlikely,1
happeneven,1
moving,2
washing,1
dishes,1
noiseyeahlike,1
feel,25
bad,16
her,3
always,5
loud,1
late,7
stopshes,1
inconvenient,1
inyou,1
measuring,1
spoons,1
kitchenleft,1
outside,9
looked,6
interruptingbe,1
couple,12
minutesneato,1
gluing,2
sooner,2
stopped,3
working,14
mainly,1
battery,3
almsot,1
deadyeah,1
mac,8
128,3
grab,8
printerthe,1
usb,1
broken,1
chip,2
inside,3
loose,1
hot,2
glue,9
fix,2
input,2
who,11
knows,1
than,19
meboth,1
maci,1
dodoes,1
aa,2
andor,1
mouse,1
fixing,2
skillsshitare,1
roomok,1
goodhuh,1
idkbut,1
zoom,5
link,2
totheyre,1
arent,7
candidates,1
joining,2
yetwh1and,1
roomi,2
meet,5
wh1,6
somewhere,8
10,8
minutesor,1
retrieve,2
themim,1
dh,3
keys,2
roomstill,1
exists,4
some887086756653043782,1
fresh,1
bread,4
resolvedamazingthank,1
bryce,1
piece,2
informationthey,1
flipping,1
breakers,1
studiopleaseok,1
neat,2
didnt,15
rly,7
bedi,1
inphonecongratsyayare,1
stranded,1
rideno,1
sorrybc,1
walk,6
effectively,1
knee,1
drive,3
finehow,1
soon,5
goi,2
rn,10
daysim,1
mech,3
protoif,1
cupcake,2
eternally,3
gratefuli,1
whhow,1
far,7
away,6
place,3
goingim,1
124,1
beforeafter,1
freewhat,1
planning,23
drop,4
offi,1
professors,1
lots,1
peopleas,1
knowmilk,1
club,6
rightthis,1
applies,1
stressful,2
🎉just,1
sent,2
fwop,4
cast,1
listlmaoyeah,1
most,11
likelyflour,1
sugar,1
butter,6
yummy,1
cookiecome,1
cookies,3
inferior,1
beetlejuice887086756653043782,1
slightly,2
wh4i,1
kinda,8
sorrywhat,1
did,24
doit,1
isthey,1
consider,7
having,10
website,3
worksi,2
finally,4
obtained,1
parking,1
decal,1
took,4
days,4
phone,3
calls,2
emailsclay,1
hereyesprobably,1
eventuallyi,1
holding,3
hostageyes288518699206443009the,1
flyers,2
question,4
auditions,2
btwflyer,1
hanging,1
party,8
tape,6
papers,2
wallsbut,1
places,1
put,15
themok,1
thinking,11
20how,1
reasonable,3
number,3
print,3
schooldoes,1
dining,7
hall,9
reopening,1
takeouti,1
don’t,4
owndamn,1
gonna,2
kitchendoes,1
duct,5
nevermind,4
resolvedbut,1
tylol,1
notice,1
typobut,1
trying,13
emaillol,1
called,3
eitherthats,1
public,1
safety,4
oliners,1
rightokis,1
correctok,1
license,1
plate,3
says,3
permitsyeah,1
couldnt,7
anywhere262245801416327169,1
189195543736614913i,1
definitely,11
thought,13
getting,17
herepeople,1
cars,1
what,39
register,1
car,1
campusbut,1
npthat,1
explanation,1
felt,2
drawingthats,1
distance,1
clamping,1
part,12
bar,1
connecting,1
pieces,1
surewell,1
fun,9
plane,3
started,3
gook,1
yeah,3
mentionedvalid,1
why,6
therei,4
reading,5
figure,6
downloading,1
anything,10
better,9
doing,42
during,7
flight,1
crazy,2
takes,2
willing,9
sleepi,1
sitting,6
sleepinclined,1
been,14
5am,4
weeks,7
crazythats,1
upsetting,2
least,17
returnedyayfair,1
enoughyes,1
sleep😍,1
someones,1
themplease,1
alltheres,1
7ish,2
approximately,1
mini,1
sized,1
shapedtheyre,1
ziploc,1
labeled,1
silverberryin,1
fridge,5
somewhere887086756653043782,1
chocolates,1
jadelin,2
gave,6
homemade,1
berries,1
obtain,3
thembutterill,1
steal,4
busyno,1
thanks887086756653043782,1
anyonethere,1
multiple,2
wonderinginterestingdoes,1
secret,1
spot,1
emails,2
abouti,1
claimed,1
jacket,1
rowconsidering,1
itso,3
bother,2
showing,3
upwe,1
thoghit,1
seems,7
shapes,1
talking,6
float,1
putting,1
water,3
watching,5
floatme,1
bits,1
cheeredi,1
therealternatively,1
identity,19
procrastinate,1
productivelyishdesnat,1
studio,4
samebanana,1
milk,5
bananas,1
banana,1
flavored,1
milkphotoshoot,1
lateri,2
knowi,1
down,19
plan,5
meyesit,1
had,11
closingwe,1
plate180105249363591170,1
foodwh1yep,1
thatll,4
funoh,1
shitah,2
rocketrynot,1
minenojust,1
ig,3
donate,2
whos,3
closeby,1
brakuhhif,1
means,1
nothing,5
totally,2
fineif,1
neon,1
green,9
ultra,3
it4,1
cans,1
pink,4
white,3
monster,12
preferably,1
box,5
rather,7
individual,1
half,15
dozen,1
eggsi,1
neeed,1
enough,16
fry,1
thingshow,1
thoughi,2
donutsoh,1
theyve,1
6,7
pack,4
eggs,1
vegetable,1
oilmonsterno,1
worries,2
11pm,1
worksor,1
earlybut,1
skipi,1
till,5
630very,1
entertaining,3
6am,1
desnta,1
studios,1
tapei,1
long,13
dick,1
wrapped,1
oyeah,1
honestlytheres,1
facilities,1
hard,10
themlol,1
drew,1
dicks,1
snow,1
ohas,1
email,8
sentdoubtfulshes,1
qeacroissants,1
oven,1
ready,2
sothats,1
differentmine,1
missing887086756653043782,1
does,8
yeastah,1
nicei,2
favorite,2
likely,2
give,13
code,4
youmessage,1
ca,3
maybetbh,1
theyll,1
itor,2
fill,3
sheetbut,1
wanted,6
lose,1
other,17
stufflike,1
chris,1
spicy,1
ramen,1
taping,1
nabih,1
walli,1
stuff,15
bid,1
onok,1
coolhave,1
andrews,1
sodium,3
paying,2
foractually,1
relatedso,1
auction,1
thingsnicelike,1
standard,1
pie,3
tin,1
whipped,1
creamfollowup,1
pick,4
kind,7
piebut,1
yes,3
those,4
optionsi,1
realize,4
elvis,1
r2the,1
caps,1
lock,1
unintenitionalnicedo,1
r2impressiveno,1
hsm,4
rehearsal,2
6thats,1
even,10
worse,1
idea,9
christmasoh,1
black,2
dye,26
freecyclenicei,1
